id,title,repo,epic,priority,size,serialize,milestone,blocked_by,labels
032,MoneyLabel / DistanceLabel / DurationLabel and DateLabel,atlure-ui,ds-native,P0,M,No,M2,027 Text primitive and the typography scale; 014 Build @atlure/types with the corrected domain model,epic:ds-native; type:component; area:i18n
033,Input / Textarea / Label / FormField and SearchBar,atlure-ui,ds-native,P0,M,No,M2,027 Text primitive and the typography scale; 026 @atlure/icons: one lucide wrapper for native and web,epic:ds-native; type:component; area:forms
034,Switch / Checkbox and RadioGroup,atlure-ui,ds-native,P1,S,No,M2,033 Input / Textarea / Label / FormField and SearchBar,epic:ds-native; type:component; area:forms
035,Sheet primitive / Select and Picker,atlure-ui,ds-native,P0,M,No,M2,029 Card family and Separator; 033 Input / Textarea / Label / FormField and SearchBar,epic:ds-native; type:component; area:overlays
036,Slider / RangeSlider and Progress,atlure-ui,ds-native,P1,S,No,M2,027 Text primitive and the typography scale,epic:ds-native; type:component
037,Tabs / SegmentedControl and ScreenHeader,atlure-ui,ds-native,P1,S,No,M2,028 Button and IconButton; 026 @atlure/icons: one lucide wrapper for native and web,epic:ds-native; type:component
038,Dialog / AlertDialog and Toast,atlure-ui,ds-native,P1,M,No,M2,035 Sheet primitive / Select and Picker; 028 Button and IconButton,epic:ds-native; type:component; area:overlays
039,Skeleton / Spinner / EmptyState / ErrorState and ListRow,atlure-ui,ds-native,P0,M,No,M2,029 Card family and Separator; 028 Button and IconButton,epic:ds-native; type:component
040,Calendar / DateRangePicker and TimePicker,atlure-ui,ds-native,P1,M,No,M2,035 Sheet primitive / Select and Picker; 032 MoneyLabel / DistanceLabel / DurationLabel and DateLabel,epic:ds-native; type:component
041,Web Button and Badge sharing the native recipes,atlure-ui,ds-web,P1,S,No,M2,019 Scaffold @atlure/ui-web sharing cva recipes with the native package; 028 Button and IconButton; 030 Badge / Chip / UrgencyBadge and StarRating,epic:ds-web; type:component
042,Web Card and Accordion,atlure-ui,ds-web,P1,S,No,M2,019 Scaffold @atlure/ui-web sharing cva recipes with the native package; 029 Card family and Separator,epic:ds-web; type:component
043,Web Input / Textarea / Label and FormField,atlure-ui,ds-web,P2,S,No,M4,019 Scaffold @atlure/ui-web sharing cva recipes with the native package; 033 Input / Textarea / Label / FormField and SearchBar,epic:ds-web; type:component; area:forms
044,Web layout primitives: Container / Section / Stack / Grid / Prose,atlure-ui,ds-web,P1,S,No,M2,019 Scaffold @atlure/ui-web sharing cva recipes with the native package,epic:ds-web; type:component
045,Web ThemeProvider / dark mode and web feedback states,atlure-ui,ds-web,P1,S,No,M2,019 Scaffold @atlure/ui-web sharing cva recipes with the native package; 039 Skeleton / Spinner / EmptyState / ErrorState and ListRow,epic:ds-web; type:component
112,Decision: commission via Stripe Connect versus flat sitter subscription,admin,monetization,P2,M,No,M6,,epic:monetization; type:decision; needs:david; blocked:waiting-on-decision
113,Legal entity / KYC and VAT prerequisites for any monetization,admin,monetization,P3,M,No,M6,112 Decision: commission via Stripe Connect versus flat sitter subscription,epic:monetization; type:decision; needs:david; blocked:waiting-on-decision
066,Screen: Login,atlure-paw,paw-screens,P0,M,No,M4,062 Auth gate: Supabase session / protected routes and role switching; 033 Input / Textarea / Label / FormField and SearchBar; 039 Skeleton / Spinner / EmptyState / ErrorState and ListRow,epic:paw-screens; type:screen; flow:auth
067,Screen: Signup,atlure-paw,paw-screens,P0,M,No,M4,062 Auth gate: Supabase session / protected routes and role switching; 033 Input / Textarea / Label / FormField and SearchBar,epic:paw-screens; type:screen; flow:auth
068,Screen: Role selection,atlure-paw,paw-screens,P0,S,No,M4,062 Auth gate: Supabase session / protected routes and role switching; 029 Card family and Separator,epic:paw-screens; type:screen; flow:auth
069,Screen: Onboarding carousel and dashboard coach marks,atlure-paw,paw-screens,P2,M,No,M5,068 Screen: Role selection; 036 Slider / RangeSlider and Progress,epic:paw-screens; type:screen; flow:auth
070,Screen: sitter filter panel,atlure-paw,paw-screens,P0,L,No,M4,035 Sheet primitive / Select and Picker; 036 Slider / RangeSlider and Progress; 040 Calendar / DateRangePicker and TimePicker; 063 Data seam: one port per aggregate / Result / cursors and realtime,epic:paw-screens; type:screen; flow:search
071,Screen: find a sitter — search / results / paging and states,atlure-paw,paw-screens,P0,L,No,M4,070 Screen: sitter filter panel; 065 Supabase adapter passing the same conformance suite as the mock; 039 Skeleton / Spinner / EmptyState / ErrorState and ListRow,epic:paw-screens; type:screen; flow:search
072,Screen: map,atlure-paw,paw-screens,P2,L,No,M5,071 Screen: find a sitter — search / results / paging and states,epic:paw-screens; type:screen; flow:search; area:maps
073,Screens: walk and sit services / home boarding services,atlure-paw,paw-screens,P1,M,No,M4,071 Screen: find a sitter — search / results / paging and states,epic:paw-screens; type:screen; flow:search
074,Screen: pet-parent dashboard and quick actions,atlure-paw,paw-screens,P0,L,No,M4,062 Auth gate: Supabase session / protected routes and role switching; 064 Mock adapter with latency and failure injection / plus one fixture file per entity; 039 Skeleton / Spinner / EmptyState / ErrorState and ListRow,epic:paw-screens; type:screen; flow:dashboard
075,Screen: pet-sitter dashboard,atlure-paw,paw-screens,P0,L,No,M4,062 Auth gate: Supabase session / protected routes and role switching; 064 Mock adapter with latency and failure injection / plus one fixture file per entity; 037 Tabs / SegmentedControl and ScreenHeader,epic:paw-screens; type:screen; flow:dashboard
076,Screen: add and edit a pet,atlure-paw,paw-screens,P0,M,No,M4,033 Input / Textarea / Label / FormField and SearchBar; 053 Storage buckets: public pet photos and private ID documents; 065 Supabase adapter passing the same conformance suite as the mock,epic:paw-screens; type:screen; flow:pets
077,Screen: pet profile,atlure-paw,paw-screens,P1,M,No,M4,076 Screen: add and edit a pet; 031 Avatar / AvatarGroup and presence indicator; 032 MoneyLabel / DistanceLabel / DurationLabel and DateLabel,epic:paw-screens; type:screen; flow:pets
078,Screen: sitter public profile and service details,atlure-paw,paw-screens,P0,L,No,M4,071 Screen: find a sitter — search / results / paging and states; 040 Calendar / DateRangePicker and TimePicker; 030 Badge / Chip / UrgencyBadge and StarRating,epic:paw-screens; type:screen; flow:booking
079,Screen: booking request and confirmation summary,atlure-paw,paw-screens,P0,L,No,M4,078 Screen: sitter public profile and service details; 057 Hono business logic: matching / notification fan-out and scheduled jobs; 040 Calendar / DateRangePicker and TimePicker,epic:paw-screens; type:screen; flow:booking
080,Screens: pet request detail and home sitting request detail,atlure-paw,paw-screens,P1,L,No,M5,075 Screen: pet-sitter dashboard; 038 Dialog / AlertDialog and Toast; 057 Hono business logic: matching / notification fan-out and scheduled jobs,epic:paw-screens; type:screen; flow:booking
081,Screen: schedule — month calendar,atlure-paw,paw-screens,P1,M,No,M5,040 Calendar / DateRangePicker and TimePicker; 065 Supabase adapter passing the same conformance suite as the mock,epic:paw-screens; type:screen; flow:schedule
082,Screen: schedule — day agenda and booking detail,atlure-paw,paw-screens,P1,M,No,M5,081 Screen: schedule — month calendar; 038 Dialog / AlertDialog and Toast,epic:paw-screens; type:screen; flow:schedule
083,Screen: schedule — sitter availability editor,atlure-paw,paw-screens,P1,M,No,M5,081 Screen: schedule — month calendar; 040 Calendar / DateRangePicker and TimePicker; 048 Schema: sitter profiles / services and availability,epic:paw-screens; type:screen; flow:schedule
084,Screen: messaging — conversation list,atlure-paw,paw-screens,P1,M,No,M5,065 Supabase adapter passing the same conformance suite as the mock; 039 Skeleton / Spinner / EmptyState / ErrorState and ListRow; 031 Avatar / AvatarGroup and presence indicator,epic:paw-screens; type:screen; flow:messaging
085,Screen: messaging — thread view and history paging,atlure-paw,paw-screens,P1,M,No,M5,084 Screen: messaging — conversation list,epic:paw-screens; type:screen; flow:messaging
086,Screen: messaging — composer / attachments and realtime delivery,atlure-paw,paw-screens,P1,M,No,M5,085 Screen: messaging — thread view and history paging; 053 Storage buckets: public pet photos and private ID documents; 051 Schema and Realtime: conversations / messages and live tracking channels,epic:paw-screens; type:screen; flow:messaging; area:realtime
087,Screen: live tracking,atlure-paw,paw-screens,P1,L,No,M5,051 Schema and Realtime: conversations / messages and live tracking channels; 065 Supabase adapter passing the same conformance suite as the mock; 072 Screen: map,epic:paw-screens; type:screen; flow:tracking; area:realtime
088,Screen: emergency information,atlure-paw,paw-screens,P1,M,No,M5,077 Screen: pet profile; 037 Tabs / SegmentedControl and ScreenHeader,epic:paw-screens; type:screen; flow:tracking
089,Screen: leave a review and the review list,atlure-paw,paw-screens,P1,M,No,M5,052 Schema: reviews / ratings and aggregate rollups; 030 Badge / Chip / UrgencyBadge and StarRating; 082 Screen: schedule — day agenda and booking detail,epic:paw-screens; type:screen; flow:reviews
090,Screens: edit profile and security settings,atlure-paw,paw-screens,P1,L,No,M5,033 Input / Textarea / Label / FormField and SearchBar; 034 Switch / Checkbox and RadioGroup; 053 Storage buckets: public pet photos and private ID documents,epic:paw-screens; type:screen; flow:profile
091,Screens: pet-parent and pet-sitter profile tabs with role switching,atlure-paw,paw-screens,P1,M,No,M5,062 Auth gate: Supabase session / protected routes and role switching; 089 Screen: leave a review and the review list; 037 Tabs / SegmentedControl and ScreenHeader,epic:paw-screens; type:screen; flow:profile
092,Screen: notifications,atlure-paw,paw-screens,P1,M,No,M5,057 Hono business logic: matching / notification fan-out and scheduled jobs; 039 Skeleton / Spinner / EmptyState / ErrorState and ListRow,epic:paw-screens; type:screen; flow:profile
093,Screens: bookmarks and activity,atlure-paw,paw-screens,P2,M,No,M5,071 Screen: find a sitter — search / results / paging and states; 039 Skeleton / Spinner / EmptyState / ErrorState and ListRow,epic:paw-screens; type:screen; flow:profile
094,Screens: help and support / refer a friend,atlure-paw,paw-screens,P2,L,No,M5,042 Web Card and Accordion; 033 Input / Textarea / Label / FormField and SearchBar; 065 Supabase adapter passing the same conformance suite as the mock,epic:paw-screens; type:screen; flow:profile
058,Scaffold atlure-paw with expo-router and locked identifiers,atlure-paw,paw-shell,P0,M,Yes,M2,002 Create and clone the four atlure repos,epic:paw-shell; type:scaffold; serialize
059,Land the full navigation tree upfront with every route coming-soon,atlure-paw,paw-shell,P0,M,Yes,M2,058 Scaffold atlure-paw with expo-router and locked identifiers; 037 Tabs / SegmentedControl and ScreenHeader,epic:paw-shell; type:navigation; area:conflict-hotspot; serialize
060,Wire NativeWind / the token preset and NAV_THEME into atlure-paw,atlure-paw,paw-shell,P0,M,Yes,M2,058 Scaffold atlure-paw with expo-router and locked identifiers; 017 Publish @atlure/tailwind-preset with self-configuring content globs,epic:paw-shell; type:scaffold; area:nativewind; serialize
061,UNVERIFIED RISK: prove NativeWind 4.2.6 renders orange on Expo 57 on a real device,atlure-paw,paw-shell,P0,M,No,M2,060 Wire NativeWind / the token preset and NAV_THEME into atlure-paw; 028 Button and IconButton,epic:paw-shell; type:risk; area:nativewind; blocked:waiting-on-external
062,Auth gate: Supabase session / protected routes and role switching,atlure-paw,paw-shell,P0,L,Yes,M3,059 Land the full navigation tree upfront with every route coming-soon; 054 RLS policies across every table / with an adversarial verification suite,epic:paw-shell; type:auth; serialize
063,Data seam: one port per aggregate / Result / cursors and realtime,atlure-paw,paw-shell,P0,L,Yes,M3,058 Scaffold atlure-paw with expo-router and locked identifiers; 014 Build @atlure/types with the corrected domain model,epic:paw-shell; type:architecture; serialize
064,Mock adapter with latency and failure injection / plus one fixture file per entity,atlure-paw,paw-shell,P0,L,Yes,M3,063 Data seam: one port per aggregate / Result / cursors and realtime,epic:paw-shell; type:architecture; area:fixtures; area:conflict-hotspot; serialize
065,Supabase adapter passing the same conformance suite as the mock,atlure-paw,paw-shell,P0,L,Yes,M3,064 Mock adapter with latency and failure injection / plus one fixture file per entity; 062 Auth gate: Supabase session / protected routes and role switching; 055 Seed data at known coordinates and the shared generated DB types,epic:paw-shell; type:architecture; serialize
104,Analytics with consent gating / and error observability across all repos,all,quality,P1,M,No,M5,090 Screens: edit profile and security settings; 097 Legal pages: terms / privacy / cookies and imprint,epic:quality; type:observability
105,End-to-end tests for the M4 thin slice on a real device,atlure-paw,quality,P0,L,No,M4,079 Screen: booking request and confirmation summary; 076 Screen: add and edit a pet; 071 Screen: find a sitter — search / results / paging and states,epic:quality; type:test
106,Visual regression on the Storybook workbench,atlure-ui,quality,P2,M,No,M5,025 Storybook workbench in apps/ / never published; 039 Skeleton / Spinner / EmptyState / ErrorState and ListRow,epic:quality; type:test
107,Accessibility audit across the app and the marketing site,all,quality,P1,L,No,M6,091 Screens: pet-parent and pet-sitter profile tabs with role switching; 096 Core marketing pages: home / how it works / for sitters,epic:quality; type:a11y
108,Push notifications: registration / delivery and deep links,atlure-paw,quality,P2,L,No,M5,092 Screen: notifications; 057 Hono business logic: matching / notification fan-out and scheduled jobs; 038 Dialog / AlertDialog and Toast,epic:quality; type:feature; area:notifications
109,Brand assets — logo / app icon / splash and OG imagery,all,quality,P1,M,No,M6,,epic:quality; type:manual; needs:david; blocked:waiting-on-decision; area:brand
110,Performance budgets: Lighthouse CI on web / startup and bundle budgets on app,all,quality,P2,M,No,M6,101 SEO infrastructure: sitemap / robots / canonicals / OG images and structured data; 098 Programmatic local landing pages per city and service,epic:quality; type:performance
111,Launch: TestFlight and Play internal track,atlure-paw,quality,P1,L,Yes,M6,109 Brand assets — logo / app icon / splash and OG imagery; 107 Accessibility audit across the app and the marketing site; 105 End-to-end tests for the M4 thin slice on a real device; 011 Reserve com.atlure.paw on App Store Connect and Google Play,epic:quality; type:release; needs:david; serialize
095,Scaffold atlure-web with Next 16 / the DS packages and the theme script,atlure-web,web-marketing,P1,M,Yes,M4,002 Create and clone the four atlure repos; 045 Web ThemeProvider / dark mode and web feedback states; 012 Create the Vercel project and wire www.atlure.com,epic:web-marketing; type:scaffold; serialize
096,Core marketing pages: home / how it works / for sitters,atlure-web,web-marketing,P1,M,No,M4,095 Scaffold atlure-web with Next 16 / the DS packages and the theme script; 044 Web layout primitives: Container / Section / Stack / Grid / Prose,epic:web-marketing; type:page
097,Legal pages: terms / privacy / cookies and imprint,atlure-web,web-marketing,P0,M,No,M4,095 Scaffold atlure-web with Next 16 / the DS packages and the theme script; 044 Web layout primitives: Container / Section / Stack / Grid / Prose,epic:web-marketing; type:page; needs:david; blocked:waiting-on-decision
098,Programmatic local landing pages per city and service,atlure-web,web-marketing,P2,L,No,M5,095 Scaffold atlure-web with Next 16 / the DS packages and the theme script; 049 PostGIS geography column / GiST index and the sitter radius search RPC; 101 SEO infrastructure: sitemap / robots / canonicals / OG images and structured data,epic:web-marketing; type:page; area:seo
099,Indexable public sitter profile pages,atlure-web,web-marketing,P2,M,No,M5,095 Scaffold atlure-web with Next 16 / the DS packages and the theme script; 054 RLS policies across every table / with an adversarial verification suite; 101 SEO infrastructure: sitemap / robots / canonicals / OG images and structured data,epic:web-marketing; type:page; area:seo; area:security
100,FAQ page with FAQPage structured data,atlure-web,web-marketing,P2,S,No,M5,042 Web Card and Accordion; 095 Scaffold atlure-web with Next 16 / the DS packages and the theme script,epic:web-marketing; type:page; area:seo
101,SEO infrastructure: sitemap / robots / canonicals / OG images and structured data,atlure-web,web-marketing,P1,M,Yes,M4,095 Scaffold atlure-web with Next 16 / the DS packages and the theme script,epic:web-marketing; type:tooling; area:seo; serialize
102,Sitter waitlist and newsletter forms,atlure-web,web-marketing,P2,S,No,M5,043 Web Input / Textarea / Label and FormField; 096 Core marketing pages: home / how it works / for sitters,epic:web-marketing; type:page; area:forms
103,Universal links / app-site association and download handoff,atlure-web,web-marketing,P1,M,No,M5,095 Scaffold atlure-web with Next 16 / the DS packages and the theme script; 058 Scaffold atlure-paw with expo-router and locked identifiers; 011 Reserve com.atlure.paw on App Store Connect and Google Play,epic:web-marketing; type:tooling; area:deeplinks
